Donor,Class,Title,Company,Department,Year,Text,,,Website,Surname,
Terra VC,A,,,-,-,,,,Terra VC,VC,
Андрей Иващенко,A,Председатель совета директоров,Химрар,ФРТК,1990,Председатель совета директоров Химрар,,,Андрей Иващенко (Химрар),Иващенко,Terra VC • Полина Бабаева (Старкит) • Дмитрий Бабурин (Baring Vostok) • Алексей Блохин • Дмитрий Быкадоров (ФЦК МФТИ) • Александра Видюк (HSBC) • Константин Виноградов (Runa Capital) • Ренат Гимадеев (AIM High Tech) • Сергей Гордеев (ПИК) • Ольга Гребнева (Московская школа программистов) • Максим Гузинин (МИР-МИО) • Сергей Дашков (СДС-Фудс) • Денис Дмитриев (МФТИ) • Виктор Довжик (Интроверт) • Алексей Золотарев (ГК ПИК) • Андрей Иващенко (Химрар) • Илья Иващенко (МФТИ) • Алмаз Исхаков (PulsarProduction) • Виктор Кантор (МТС) • Дмитрий Коваль (Netwell) • Борис Крейнин • Артем Круглов (AnyQuery) • Виктор Лысенко (Osome) • Александр Машрабов (Snap) • Александр Мельников (Сбербанк) • Юрий Молодцов (MA Family) • Роман Мухомадеев (ПИК) • Андрей Недбаев • Денис Пак (Google) • Михаил Провизион (Konsol.pro) • Яков Пронин (ПИК) • Владимир Рубанов (Huawei Russia) • Татьяна Савельева (Яндекс) • Ратмир Тимашев (Veeam Software) • Богдан Узбеков (Square) • Антон Федоров (Flashpoint VC) • Ксения Чепурченко (ПИК) • Евгений Чернявский (Физтех-Центр) • Сергей Шаров (ASOdesk) • Марк Шмулевич (Taiger)
Андрей Недбаев,A,,,,,,,,Андрей Недбаев,Недбаев,
Дмитрий Коваль,A,Основатель,Netwell,ФУПМ,1997,Основатель Netwell,,,Дмитрий Коваль (Netwell),Коваль,•
Ратмир Тимашев,A,Сооснователь,Veeam Software,ФМХФ,1990,Сооснователь Veeam Software,,,Ратмир Тимашев (Veeam Software),Тимашев,
Сергей Гордеев,A,Президент и основной акционер,ПИК,-,-,Президент и основной акционер ПИК,,,Сергей Гордеев (ПИК),Гордеев,
Сергей Дашков,A,Сооснователь,СДС-Фудс,ФФХБ,1993,Сооснователь СДС-Фудс,,,Сергей Дашков (СДС-Фудс),Дашков,
Александр Машрабов,B,"Engineering Manager, ",Snap,ФИВТ,2018,"Engineering Manager, Snap",,,Александр Машрабов (Snap),Машрабов,
Александр Мельников,B,Директор по проектам,Сбербанк,ФПФЭ,2012,Директор по проектам Сбербанк,,,Александр Мельников (Сбербанк),Мельников,
Александра Видюк,B,Chief Data Officer,HSBC,ФИВТ,2009,Chief Data Officer HSBC,,,Александра Видюк (HSBC),Видюк,
Алексей Блохин,B,Серийный предприниматель,,ФАЛТ,1990,Серийный предприниматель,,,Алексей Блохин,Блохин,
Алексей Золотарев,B,Бывший вице-президент и член правления,ГК ПИК,ФУПМ,2013,Бывший вице-президент и член правления ГК ПИК,,,Алексей Золотарев (ГК ПИК),Золотарев,
Алмаз Исхаков,B,CEO и основатель,PulsarProduction,ФАКИ,2020,CEO и основатель PulsarProduction,,,Алмаз Исхаков (PulsarProduction),Исхаков,
Антон Федоров,B,Партнер,Flashpoint VC,ФФКЭ,2010,Партнер Flashpoint VC,,,Антон Федоров (Flashpoint VC),Федоров,
Артем Круглов,B,CEO и сооснователь,AnyQuery,ФИВТ,2009,CEO и сооснователь AnyQuery,,,Артем Круглов (AnyQuery),Круглов,
Богдан Узбеков,B,"European Operations,",Square,ФАКИ,2012,"European Operations, Square",,,Богдан Узбеков (Square),Узбеков,
Борис Крейнин,B,Предприниматель,,-,-,Предприниматель,,,Борис Крейнин,Крейнин,
Виктор Довжик,B,Управляющий партнер,Интроверт,-,-,Управляющий партнер Интроверт,,,Виктор Довжик (Интроверт),Довжик,
Виктор Кантор,B,Chief Data Science Officer,МТС,ФИВТ,2014,Chief Data Science Officer МТС,,,Виктор Кантор (МТС),Кантор,
Виктор Лысенко,B,CEO и сооснователь,Osome,ФУПМ,1994,CEO и сооснователь Osome,,,Виктор Лысенко (Osome),Лысенко,
Владимир Рубанов,B,CTO,Huawei Russia,ФУПМ,2000,CTO Huawei Russia,,,Владимир Рубанов (Huawei Russia),Рубанов,
Денис Дмитриев,B,Проректор по молодежной политике,МФТИ,ФУПМ,2013,Проректор по молодежной политике МФТИ,,,Денис Дмитриев (МФТИ),Дмитриев,
Денис Пак,B,"Head of Strategy and Operations,",Google,ФОПФ,2008,"Head of Strategy and Operations, Google",,,Денис Пак (Google),Пак,
Дмитрий Бабурин,B,Партнер,Baring Vostok,ФАКИ,2010,Партнер Baring Vostok,,,Дмитрий Бабурин (Baring Vostok),Бабурин,
Дмитрий Быкадоров,B,Зам. председателя правления,ФЦК МФТИ,ФМХФ,1990,Зам. председателя правления ФЦК МФТИ,,,Дмитрий Быкадоров (ФЦК МФТИ),Быкадоров,
Евгений Чернявский,B,CEO и основатель,Физтех-Центр,ФУПМ,2018,CEO и основатель Физтех-Центр,,,Евгений Чернявский (Физтех-Центр),Чернявский,
Илья Иващенко,B,Студент,МФТИ,ФБМФ,2023,Студент МФТИ,,,Илья Иващенко (МФТИ),Иващенко,
Константин Виноградов,B,Инвестиционный директор,Runa Capital,ФИВТ,2014,Инвестиционный директор Runa Capital,,,Константин Виноградов (Runa Capital),Виноградов,
Ксения Чепурченко,B,Зам. руководителя департамента подготовки проектов,ПИК,ФУПМ,2016,Зам. руководителя департамента подготовки проектов ПИК,,,Ксения Чепурченко (ПИК),Чепурченко,
Максим Гузинин,B,Директор ассоциации,МИР-МИО,ФОПФ,2016,Директор ассоциации МИР-МИО,,,Максим Гузинин (МИР-МИО),Гузинин,
Марк Шмулевич,B,Старший вице-президент,Taiger,ФУПМ,2005,Старший вице-президент Taiger,,,Марк Шмулевич (Taiger),Шмулевич,
Михаил Провизион,B,СЕО и основатель,Konsol.pro,ФИВТ,2009,СЕО и основатель Konsol.pro,,,Михаил Провизион (Konsol.pro),Провизион,
Ольга Гребнева,B,COO,Московская школа программистов,ФУПМ,2014,COO Московская школа программистов,,,Ольга Гребнева (Московская школа программистов),Гребнева,
Полина Бабаева,B,Генеральный директор,Старкит,ФАКИ,2014,Генеральный директор Старкит,,,Полина Бабаева (Старкит),Бабаева,
Ренат Гимадеев,B,Директор департамент исследований,AIM High Tech,ФУПМ,2011,Директор департамент исследований AIM High Tech,,,Ренат Гимадеев (AIM High Tech),Гимадеев,
Роман Мухомадеев,B,Директор по операционному развитию,ПИК,ФИВТ,2016,Директор по операционному развитию ПИК,,,Роман Мухомадеев (ПИК),Мухомадеев,
Сергей Шаров,B,CEO и сооснователь,ASOdesk,ФИВТ,2016,CEO и сооснователь ASOdesk,,,Сергей Шаров (ASOdesk),Шаров,
Татьяна Савельева,B,Руководитель ,Яндекс,ФБМФ,2019,Руководитель Яндекс,,,Татьяна Савельева (Яндекс),Савельева,
Юрий Молодцов,B,СОО и партнер,MA Family,ФИВТ,2018,СОО и партнер MA Family,,,Юрий Молодцов (MA Family),Молодцов,
Яков Пронин,B,Инвестиционный директор,ПИК,ФУПМ,2013,Инвестиционный директор ПИК,,,Яков Пронин (ПИК),Пронин,
Александр Мирошниченко,C,Президент и сооснователь,Flashgrid,ФФКЭ,1985,Президент и сооснователь Flashgrid,,,Александр Мирошниченко (Flashgrid),Мирошниченко,
Александр Павлов,C,Вице-президент,Target Global,ФОПФ,,Вице-президент Target Global,,,,,
Александр Турбанов,C,,,-,-,,,,,,
Алексей Голдин,C,,,ФПФЭ,1993,,,,,,
Алексей Катаев,C,,,-,-,,,,,,
Алексей Фиошкин,C,,,-,-,,,,,,
Анастасия Кучеренко,C,,,-,-,,,,,,
Андрей Гордийчук,C,,,ФФКЭ,1990,,,,,,
Андрей Якименко,C,,,-,-,,,,,,
Антон Петухов,C,,,ФИВТ,2013,,,,,,
Антон Урусов,C,,,ФИВТ,2009,,,,,,
Артемий Ефимов,C,,,ФОПФ,2022,,,,,,
Варвара Русскова,C,,,-,-,,,,,,
Вера Кадруль,C,,,ФРТК,,,,,,,
Виктория Ольховская,C,,,ФАКИ,2019,,,,,,
Виталий Яшин,C,,,ФИВТ,2015,,,,,,
Владислав Минашкин,C,Студент,МФТИ,ФУПМ,,Студент МФТИ,,,,,
Вячеслав Агарков,C,,,-,-,,,,,,
Геннадий Куркин,C,,,ФМБФ,1991,,,,,,
Глеб Фильков,C,,,ФБМФ,2014,,,,,,
Дарья Донец,C,,,ФУПМ,2020,,,,,,
Дарья Курзанова,C,,,ФИВТ,2013,,,,,,
Денис Семененко,C,,,ФИВТ,2019,,,,,,
Дмитрий Примак,C,,,ФОПФ,2025,,,,,,
Дмитрий Устинов,C,,,ФИВТ,2013,,,,,,
Евгений Подгорнов,C,,,ФАЛТ,1991,,,,,,
Екатерина Виноградова,C,,,-,-,,,,,,
Елена Нестерова,C,,,-,-,,,,,,
Елисеева Екатерина,C,,,ФИВТ,2010,,,,,,
Игорь Ефимов,C,,,ФОПФ,1986,,,,,,
Илья Зуев,C,,,ФРТК,2022,,,,,,
Илья Линицкий,C,,,ФАКИ,2020,,,,,,
Ирина Григал,C,,ФЦК МФТИ,ФФКЭ,2010,ФЦК МФТИ,,,,,
Кирилл Вотяков,C,,,ФОПФ,2004,,,,,,
Мария Станко,C,,,-,-,,,,,,
Ник Спирин,C,,,ФУПМ,2012,,,,,,
Никита Комаров,C,,,,,,,,,,
Никита Юрьев,C,,,ФИВТ,2010,,,,,,
Николай Борисенко,C,,,ФИВТ,2010,,,,,,
Олег Линников,C,,,ФАКИ,2019,,,,,,
Олег Оксюк,C,,,ФУПМ,2001,,,,,,
Петр Чупров,C,,,ФАКИ,2020,,,,,,
Ринат Плавник,C,,,ФАКИ,2021,,,,,,
Ростислав Березовский,C,,,ФУПМ,2013,,,,,,
Руслан Янбарисов,C,,,ФУПМ,2017,,,,,,
Сандаара Романова,C,,,ФБМФ,2020,,,,,,
Сергей Балалаев,C,,,ФИВТ,2016,,,,,,
Сергей Елизаров,C,Начальник отдела,"ОАО ""Радиофизика""",ФМХФ,1991,"Начальник отдела ОАО ""Радиофизика""",,,,,
Сергей Рыжков,C,,,ФУПМ,1985,,,,,,
Сергей Тарасов,C,,,ФРТК,1987,,,,,,
Степан Осипов,C,,,-,-,,,,,,
Степан Солоднев,C,,,ФРТК,2019,,,,,,
Федор Царев,C,,,-,-,,,,,,
Юлия Ледуховская,C,,,-,-,,,,,,